ID,Name,Market,Category,Capital,PER,EPS,ROE,PBR,BPS,Group_PER,Revenue,Operating_Income,Net_Income,Dividend,Debt,Debt_continuous,Retention,Retention_Continuous,Open,High,Low,Close,DaytoDay,Volume,Highest_Price,Highest_Date,update_date
20,동화약품,KOSPI,제약,3282,22.82,204,5.27,1.16,12534,80.45,763,65,62,1.23,24.34,4,1138.05,5,11400,11750,11400,11750,300,67692,21550,2020-08-11,2022-05-13 7:04
40,KR모터스,KOSPI,자동차,761,-8.77,-48,-25.82,2.25,385,7.94,383,-29,-67,NULL,235.36,2,-43.26,1,786,804,786,792,8,80163,1450,2019-07-05,2022-05-13 6:31
50,경방,KOSPI,"섬유,의류,신발,호화품",4208,16.92,155,2.98,0.46,30043,5.56,1133,223,43,0.91,68.96,4,5624.3,5,15100,15350,14900,15350,200,8396,17750,2022-04-26,2022-05-13 6:48
60,메리츠화재,KOSPI,손해보험,44269,6.13,1605,26.08,1.52,22115,6.71,30394,2696,1939,1.85,1056.04,1,4389.04,4,37250,37350,34650,36700,350,545472,53500,2022-01-21,2022-05-13 7:05
70,삼양홀딩스,KOSPI,식품,6988,3.66,1645,14.53,0.43,226314,11.83,8000,311,104,3.05,83.91,1,3667.55,1,81800,82300,81000,81600,500,9234,134000,2021-04-22,2022-05-13 6:48
75,삼양홀딩스우,KOSPI,식품,190,3.66,1645,14.53,0.43,226314,11.83,8000,311,104,4.42,83.91,1,3667.55,1,62600,62600,61900,62500,200,63,80700,2021-04-20,2022-05-13 6:32
80,하이트진로,KOSPI,음료,24897,29.95,78,6.62,1.93,15657,21.44,5449,337,56,2.65,232.16,1,220.09,4,34700,35500,34700,35500,800,209135,40750,2020-06-24,2022-05-13 7:05
87,하이트진로2우B,KOSPI,음료,236,29.95,78,6.62,1.93,15657,21.44,5449,337,56,4.45,232.16,1,220.09,4,21000,21000,20500,20850,100,1947,28300,2021-05-24,2022-05-13 6:32
100,유한양행,KOSPI,제약,42621,45.05,230,5.45,2.21,28159,80.45,4240,48,157,0.62,27.27,4,2687.89,4,57800,58700,57100,58200,1000,142593,67200,2021-01-06,2022-05-13 7:05
105,유한양행우,KOSPI,제약,667,45.05,230,5.45,2.21,28159,80.45,4240,48,157,0.69,27.27,4,2687.89,4,56000,57100,55900,56500,500,305,72800,2020-06-09,2022-05-13 6:32
120,CJ대한통운,KOSPI,항공화물운송과물류,29884,52.51,2496,1.59,0.7,178753,11.06,30573,998,507,NULL,123.93,4,2700.68,3,131000,132000,130000,131000,2000,74033,186000,2021-02-04,2022-05-13 7:06
140,하이트진로홀딩스,KOSPI,음료,3052,8.86,150,6.48,0.52,23538,21.44,5420,378,62,3.69,289.59,1,990.16,5,13000,13300,13000,13150,0,17340,19750,2020-06-24,2022-05-13 6:32
145,하이트진로홀딩스우,KOSPI,음료,76,8.86,150,6.48,0.52,23538,21.44,5420,378,62,3.27,289.59,1,990.16,5,16300,16300,16050,16050,50,2236,26350,2019-08-07,2022-05-13 6:32
150,두산,KOSPI,복합기업,13566,11.93,1627,11.08,0.97,121631,7.7,26045,1140,561,1.69,206.1,5,2186.51,3,79700,82700,79700,82100,1700,88031,148000,2021-11-15,2022-05-13 7:06
155,두산우,KOSPI,복합기업,2602,11.93,1627,11.08,0.97,121631,7.7,26045,1140,561,2.56,206.1,5,2186.51,3,66600,66900,65100,65100,1500,2803,91100,2022-03-10,2022-05-13 7:06
157,두산2우B,KOSPI,복합기업,951,11.93,1627,11.08,0.97,121631,7.7,26045,1140,561,1.95,206.1,5,2186.51,3,107500,110500,106500,106500,1000,3238,235000,2021-06-10,2022-05-13 7:06
180,성창기업지주,KOSPI,종이와목재,1974,27.99,-129,1.14,0.29,8360,28.45,520,-59,-91,NULL,30.5,4,721.29,1,2680,2920,2675,2830,240,2401188,3440,2021-05-12,2022-05-13 7:07
210,DL,KOSPI,화학,13307,1.47,276,26.52,0.35,173922,8.16,6717,339,29,3.12,83.72,1,5309.5,1,63200,63900,62800,63500,900,39051,86800,2019-06-20,2022-05-13 6:50
215,DL우,KOSPI,화학,669,1.47,276,26.52,0.35,173922,8.16,6717,339,29,5.27,83.72,1,5309.5,1,39700,40000,39650,39650,50,1845,52000,2021-05-11,2022-05-13 6:33
